Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_silicon_oil_20251204.tnt
Starting Point:	1	Ending Point:	40000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
92314.000	-587118.000	3080.000
168277.000	-577176.000	3084.000
207252.000	-513023.000	3088.000
206396.000	-429294.000	3092.000
181093.000	-346173.000	3096.000
140380.000	-268466.000	3100.000
-1988.000	-456907.000	3104.000
27608.000	-537865.000	3108.000
91317.000	-588028.000	3112.000
167539.000	-577508.000	3116.000
208208.000	-510432.000	3120.000
206291.000	-430956.000	3124.000
178392.000	-349250.000	3128.000
138732.000	-271010.000	3132.000
598.000	-454165.000	3136.000
29476.000	-535140.000	3140.000
91813.000	-585750.000	3144.000
164477.000	-576336.000	3148.000
205930.000	-508881.000	3152.000
206020.000	-426409.000	3156.000
179804.000	-344455.000	3160.000
134675.000	-273705.000	3164.000
-483.000	-454131.000	3168.000
30072.000	-534860.000	3172.000
90612.000	-586469.000	3176.000
163372.000	-578122.000	3180.000
203928.000	-512998.000	3184.000
206210.000	-428720.000	3188.000
180436.000	-344374.000	3192.000
136251.000	-270981.000	3196.000
-1723.000	-454233.000	3200.000
30675.000	-532493.000	3204.000
88796.000	-585733.000	3208.000
163781.000	-573465.000	3212.000
208492.000	-506314.000	3216.000
208149.000	-426273.000	3220.000
179202.000	-345751.000	3224.000
133526.000	-270638.000	3228.000
-252.000	-451892.000	3232.000
29342.000	-532118.000	3236.000
90006.000	-580810.000	3240.000
165853.000	-575994.000	3244.000
204364.000	-507062.000	3248.000
204078.000	-427197.000	3252.000
181129.000	-341874.000	3256.000
136681.000	-264782.000	3260.000
-361.000	-451290.000	3264.000
28897.000	-530268.000	3268.000
89903.000	-580902.000	3272.000
164894.000	-571799.000	3276.000
205209.000	-509741.000	3280.000
202733.000	-424274.000	3284.000
178030.000	-344980.000	3288.000
136939.000	-267420.000	3292.000
-638.000	-451270.000	3296.000
29575.000	-530789.000	3300.000
87457.000	-581548.000	3304.000
159527.000	-569937.000	3308.000
204271.000	-508233.000	3312.000
203506.000	-422930.000	3316.000
175199.000	-340572.000	3320.000
135472.000	-264722.000	3324.000
-2397.000	-449152.000	3328.000
26835.000	-528956.000	3332.000
89448.000	-578370.000	3336.000
165450.000	-569941.000	3340.000
206674.000	-503453.000	3344.000
205337.000	-423804.000	3348.000
178532.000	-341523.000	3352.000
133276.000	-265051.000	3356.000
574.000	-447498.000	3360.000
26647.000	-528926.000	3364.000
88994.000	-577882.000	3368.000
161148.000	-571833.000	3372.000
205027.000	-504895.000	3376.000
203741.000	-423015.000	3380.000
175148.000	-339514.000	3384.000
136670.000	-266836.000	3388.000
-3885.000	-448472.000	3392.000
28730.000	-524320.000	3396.000
86252.000	-576029.000	3400.000
164479.000	-567932.000	3404.000
204077.000	-499070.000	3408.000
206491.000	-418462.000	3412.000
180589.000	-337642.000	3416.000
136114.000	-267909.000	3420.000
-4496.000	-448233.000	3424.000
25750.000	-526329.000	3428.000
